TESTE;EXECUCAO;CUSTO;TEMPO
ES1;"	1";"	1665.6708085431542";"	963ms"
ES2;"	1";"	4.46789272245951E-11";"	492ms"
ES2;"	2";"	1.3229531873548694E-5";"	608ms"
ES1;"	2";"	5.2732372068931E-6";"	690ms"
ES2;"	3";"	7.844391802791506E-12";"	625ms"
ES1;"	3";"	1.1666891737149854E-5";"	842ms"
ES1;"	4";"	6.855316314613447E-11";"	834ms"
ES2;"	4";"	8.526512829121202E-12";"	790ms"
ES1;"	5";"	1.9696021240633854E-5";"	732ms"
ES2;"	5";"	5.923084245296195E-11";"	1458ms"
ES1;"	6";"	7.292513714673987E-6";"	1273ms"
ES2;"	6";"	6.821210263296962E-13";"	861ms"
ES2;"	7";"	9.32150953758537E-6";"	766ms"
ES1;"	7";"	1.6871754269232042E-6";"	473ms"
ES1;"	8";"	1.0459189070388675E-11";"	416ms"
ES2;"	8";"	2.4851942725945264E-10";"	440ms"
ES2;"	9";"	7.675893584746518E-6";"	445ms"
ES1;"	9";"	2.6693104473451967E-6";"	428ms"
ES1;"	10";"	3.4867753129219636E-10";"	451ms"
ES2;"	10";"	9.197265171678737E-11";"	423ms"
ES1;"	11";"	8.371436592824466E-6";"	429ms"
ES2;"	11";"	4.7066350816749036E-11";"	709ms"
ES2;"	12";"	1.3657036788572441E-5";"	1192ms"
ES1;"	12";"	5.1866937155864434E-5";"	455ms"
ES1;"	13";"	9.43600753089413E-12";"	428ms"
ES2;"	13";"	9.890754881780595E-11";"	582ms"
ES2;"	14";"	1.4458031273534289E-5";"	463ms"
ES1;"	14";"	6.925885941200249E-6";"	458ms"
ES2;"	15";"	2.0372681319713593E-10";"	487ms"
ES1;"	15";"	2.114120263740915E-5";"	473ms"
ES2;"	16";"	4.5349679567152634E-10";"	573ms"
ES1;"	16";"	3.033490997950139E-6";"	467ms"
ES2;"	17";"	1.7848833522293717E-11";"	535ms"
ES1;"	17";"	1.018206069147709E-5";"	467ms"
ES2;"	18";"	2.7625901566352695E-11";"	424ms"
ES1;"	18";"	4.728159228761797E-5";"	692ms"
ES1;"	19";"	8.958522812463343E-11";"	428ms"
ES2;"	19";"	4.8544279707130045E-11";"	555ms"
ES1;"	20";"	3.332012818191288E-5";"	629ms"
ES2;"	20";"	4.774847184307873E-11";"	474ms"
ES1;"	21";"	5.824841764479061E-7";"	828ms"
ES2;"	21";"	1.3722001312999055E-10";"	714ms"
ES1;"	22";"	2.9685151389458042E-5";"	599ms"
ES2;"	22";"	2.2168933355715126E-11";"	577ms"
ES2;"	23";"	1.649869636821677E-5";"	550ms"
ES1;"	23";"	1.6791023199402844E-5";"	518ms"
ES2;"	24";"	1.7621459846850485E-11";"	480ms"
ES1;"	24";"	2.834843712662405E-5";"	555ms"
ES1;"	25";"	1.9747403712244704E-10";"	601ms"
ES2;"	25";"	7.503331289626658E-12";"	797ms"
ES2;"	26";"	7.49709545289079E-6";"	901ms"
ES1;"	26";"	4.996507414034568E-5";"	671ms"
ES1;"	27";"	2.921751729445532E-11";"	1010ms"
ES2;"	27";"	3.865352482534945E-11";"	992ms"
ES1;"	28";"	7.295113505279005E-6";"	891ms"
ES2;"	28";"	6.252776074688882E-11";"	665ms"
ES2;"	29";"	9.589760907147138E-6";"	704ms"
ES1;"	29";"	5.3775016681356647E-5";"	534ms"
ES1;"	30";"	4.7634785005357116E-11";"	425ms"
ES2;"	30";"	2.7398527890909463E-11";"	432ms"
