EXECUCAO;CUSTO;TEMPO;
1;	5.0;	169ms
2;	4.0;	61ms
3;	4.0;	40ms
4;	4.0;	50ms
5;	4.0;	58ms
6;	4.0;	34ms
7;	4.0;	26ms
8;	4.0;	31ms
9;	4.0;	29ms
10;	5.0;	37ms
11;	4.0;	65ms
12;	4.0;	42ms
13;	4.0;	40ms
14;	4.0;	45ms
15;	5.0;	38ms
16;	4.0;	29ms
17;	5.0;	37ms
18;	4.0;	30ms
19;	4.0;	28ms
20;	4.0;	60ms
21;	5.0;	47ms
22;	4.0;	48ms
23;	5.0;	34ms
24;	5.0;	27ms
25;	5.0;	31ms
26;	4.0;	47ms
27;	5.0;	74ms
28;	4.0;	28ms
29;	5.0;	41ms
30;	4.0;	33ms
EXECUCAO;CUSTO;TEMPO;
1;	6.0;	172ms
2;	4.0;	171ms
3;	5.0;	55ms
4;	5.0;	49ms
5;	5.0;	51ms
6;	5.0;	33ms
7;	5.0;	39ms
8;	5.0;	37ms
9;	7.0;	30ms
10;	5.0;	33ms
11;	4.0;	47ms
12;	4.0;	45ms
13;	5.0;	51ms
14;	4.0;	36ms
15;	4.0;	37ms
16;	4.0;	35ms
17;	4.0;	34ms
18;	4.0;	31ms
19;	5.0;	35ms
20;	4.0;	31ms
21;	6.0;	34ms
22;	4.0;	30ms
23;	6.0;	34ms
24;	4.0;	61ms
25;	4.0;	58ms
26;	4.0;	49ms
27;	4.0;	48ms
28;	4.0;	51ms
29;	7.0;	36ms
30;	5.0;	53ms
EXECUCAO;CUSTO;TEMPO;
1;	4.0;	566ms
2;	4.0;	291ms
3;	5.0;	269ms
4;	4.0;	231ms
5;	5.0;	301ms
6;	4.0;	244ms
7;	4.0;	250ms
8;	4.0;	355ms
9;	5.0;	347ms
10;	4.0;	247ms
11;	5.0;	280ms
12;	4.0;	245ms
13;	5.0;	246ms
14;	4.0;	220ms
15;	4.0;	248ms
16;	5.0;	225ms
17;	5.0;	231ms
18;	4.0;	300ms
19;	4.0;	225ms
20;	5.0;	238ms
21;	4.0;	245ms
22;	4.0;	277ms
23;	4.0;	253ms
24;	4.0;	248ms
25;	4.0;	280ms
26;	4.0;	247ms
27;	4.0;	233ms
28;	4.0;	225ms
29;	4.0;	237ms
30;	4.0;	227ms
EXECUCAO;CUSTO;TEMPO;
1;	4.0;	636ms
2;	4.0;	308ms
3;	4.0;	322ms
4;	4.0;	283ms
5;	4.0;	355ms
6;	4.0;	276ms
7;	4.0;	259ms
8;	4.0;	234ms
9;	4.0;	399ms
10;	4.0;	344ms
11;	4.0;	323ms
12;	4.0;	247ms
13;	4.0;	258ms
14;	4.0;	250ms
15;	4.0;	243ms
16;	4.0;	240ms
17;	4.0;	240ms
18;	4.0;	271ms
19;	4.0;	294ms
20;	4.0;	239ms
21;	4.0;	392ms
22;	4.0;	339ms
23;	4.0;	244ms
24;	4.0;	279ms
25;	4.0;	245ms
26;	4.0;	253ms
27;	4.0;	289ms
28;	4.0;	259ms
29;	4.0;	267ms
30;	4.0;	237ms
EXECUCAO;CUSTO;TEMPO;
1;	4.0;	653ms
2;	5.0;	295ms
3;	4.0;	271ms
4;	4.0;	301ms
5;	4.0;	292ms
6;	4.0;	242ms
7;	4.0;	246ms
8;	4.0;	225ms
9;	4.0;	372ms
10;	4.0;	292ms
11;	4.0;	304ms
12;	4.0;	316ms
13;	4.0;	239ms
14;	4.0;	257ms
15;	4.0;	222ms
16;	4.0;	225ms
17;	4.0;	263ms
18;	4.0;	246ms
19;	4.0;	228ms
20;	4.0;	218ms
21;	4.0;	245ms
22;	4.0;	237ms
23;	4.0;	300ms
24;	4.0;	227ms
25;	4.0;	294ms
26;	4.0;	284ms
27;	4.0;	278ms
28;	4.0;	292ms
29;	4.0;	259ms
30;	4.0;	232ms
